,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,99,2000,0.36
1,20,1.0,199,4000,0.52
2,20,0.0,299,6000,0.44
3,20,1.0,399,8000,0.6
4,20,0.0,499,10000,0.43
5,20,-1.0,599,12000,0.58
6,20,1.0,699,14000,0.62
7,20,2.0,799,16000,0.77
8,20,0.0,899,18000,0.86
9,20,1.0,999,20000,0.75
10,20,1.0,1099,22000,0.84
11,20,0.0,1199,24000,0.77
12,20,0.0,1299,26000,0.88
13,20,-1.0,1399,28000,0.79
14,20,2.0,1499,30000,0.79
15,20,0.0,1599,32000,0.72
16,20,1.0,1699,34000,0.65
17,20,2.0,1799,36000,0.82
18,20,1.0,1899,38000,0.99
19,20,1.0,1999,40000,0.94
20,20,-1.0,2099,42000,0.7
21,20,0.0,2199,44000,0.91
22,20,1.0,2299,46000,0.86
23,20,0.0,2399,48000,0.75
24,20,2.0,2499,50000,0.99
25,20,1.0,2599,52000,0.83
26,20,1.0,2699,54000,0.93
27,20,1.0,2799,56000,1.05
28,20,2.0,2899,58000,0.89
29,20,1.0,2999,60000,0.99
30,20,-1.0,3099,62000,0.84
31,20,0.0,3199,64000,0.92
32,20,1.0,3299,66000,0.92
33,20,0.0,3399,68000,1.01
34,20,1.0,3499,70000,0.97
35,20,1.0,3599,72000,1.06
36,20,1.0,3699,74000,1.05
37,20,3.0,3799,76000,1.12
38,20,1.0,3899,78000,0.9
39,20,2.0,3999,80000,1.05
40,20,1.0,4099,82000,1.0
41,20,1.0,4199,84000,0.97
42,20,2.0,4299,86000,1.07
43,20,1.0,4399,88000,1.19
44,20,0.0,4499,90000,1.13
45,20,0.0,4599,92000,1.2
46,20,2.0,4699,94000,1.08
47,20,1.0,4799,96000,1.14
48,20,1.0,4899,98000,1.18
49,20,1.0,4999,100000,1.05
