,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,99,2000,-0.02
1,20,0.0,199,4000,0.09
2,20,-1.0,299,6000,0.09
3,20,1.0,399,8000,0.24
4,20,0.0,499,10000,0.33
5,20,0.0,599,12000,0.36
6,20,2.0,699,14000,0.59
7,20,-1.0,799,16000,0.66
8,20,1.0,899,18000,0.63
9,20,0.0,999,20000,0.83
10,20,2.0,1099,22000,0.96
11,20,0.0,1199,24000,1.03
12,20,2.0,1299,26000,0.92
13,20,2.0,1399,28000,0.95
14,20,0.0,1499,30000,1.05
15,20,1.0,1599,32000,1.08
16,20,0.0,1699,34000,1.12
17,20,2.0,1799,36000,1.16
18,20,0.0,1899,38000,1.08
19,20,1.0,1999,40000,1.07
20,20,1.0,2099,42000,1.28
21,20,2.0,2199,44000,1.12
22,20,2.0,2299,46000,1.16
23,20,1.0,2399,48000,1.03
24,20,1.0,2499,50000,1.16
25,20,0.0,2599,52000,1.07
26,20,2.0,2699,54000,1.14
27,20,2.0,2799,56000,1.1
28,20,2.0,2899,58000,1.08
29,20,2.0,2999,60000,1.14
30,20,2.0,3099,62000,1.19
31,20,1.0,3199,64000,1.22
32,20,1.0,3299,66000,1.25
33,20,1.0,3399,68000,1.3
34,20,1.0,3499,70000,1.27
35,20,2.0,3599,72000,1.24
36,20,1.0,3699,74000,1.24
37,20,2.0,3799,76000,1.17
38,20,0.0,3899,78000,1.23
39,20,2.0,3999,80000,1.19
40,20,1.0,4099,82000,1.17
41,20,2.0,4199,84000,1.38
42,20,1.0,4299,86000,1.13
43,20,1.0,4399,88000,1.31
44,20,2.0,4499,90000,1.24
45,20,1.0,4599,92000,1.33
46,20,1.0,4699,94000,1.25
47,20,1.0,4799,96000,1.4
48,20,1.0,4899,98000,1.32
49,20,2.0,4999,100000,1.29
