,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,99,2000,0.02
1,20,0.0,199,4000,0.01
2,20,0.0,299,6000,0.16
3,20,1.0,399,8000,0.18
4,20,1.0,499,10000,0.22
5,20,1.0,599,12000,0.37
6,20,1.0,699,14000,0.36
7,20,0.0,799,16000,0.42
8,20,0.0,899,18000,0.54
9,20,1.0,999,20000,0.69
10,20,0.0,1099,22000,0.6
11,20,2.0,1199,24000,0.82
12,20,1.0,1299,26000,0.78
13,20,1.0,1399,28000,0.93
14,20,1.0,1499,30000,0.83
15,20,1.0,1599,32000,0.82
16,20,0.0,1699,34000,0.94
17,20,1.0,1799,36000,0.95
18,20,0.0,1899,38000,0.97
19,20,1.0,1999,40000,0.99
20,20,2.0,2099,42000,1.0
21,20,0.0,2199,44000,0.97
22,20,1.0,2299,46000,1.0
23,20,2.0,2399,48000,0.74
24,20,0.0,2499,50000,0.92
25,20,0.0,2599,52000,1.02
26,20,0.0,2699,54000,1.03
27,20,1.0,2799,56000,0.96
28,20,1.0,2899,58000,0.79
29,20,0.0,2999,60000,0.96
30,20,0.0,3099,62000,0.99
31,20,0.0,3199,64000,0.82
32,20,2.0,3299,66000,0.98
33,20,0.0,3399,68000,0.97
34,20,2.0,3499,70000,1.14
35,20,2.0,3599,72000,1.16
36,20,0.0,3699,74000,0.91
37,20,0.0,3799,76000,1.07
38,20,0.0,3899,78000,0.96
39,20,1.0,3999,80000,1.04
40,20,2.0,4099,82000,1.09
41,20,2.0,4199,84000,1.02
42,20,0.0,4299,86000,0.84
43,20,1.0,4399,88000,0.93
44,20,0.0,4499,90000,0.84
45,20,0.0,4599,92000,0.67
46,20,0.0,4699,94000,0.89
47,20,1.0,4799,96000,0.72
48,20,2.0,4899,98000,0.89
49,20,2.0,4999,100000,0.94
